,flair sentiment
0,-0.960861665
1,-0.989555866
2,-0.868276012
3,-0.591981388
4,0.837383152
5,0.918167721
6,0.945858024
7,0.693754841
8,-0.999476473
9,-0.633988661
10,-0.925631751
11,-0.961469059
12,-0.612449248
13,-0.987336644
14,-0.594655352
15,-0.619040872
16,-0.989951656
17,0.964134796
18,-0.925529525
19,-0.620047274
20,-0.503083015
21,-0.514537306
22,0.799081756
23,-0.794886805
24,0.735396664
25,0.718379206
26,0.821449287
27,-0.952286742
28,0.960823814
29,0.716786928
30,0.838579342
31,-0.523203785
32,0.507705705
33,0.629467422
34,0.669729108
35,-0.741185443
36,0.975939993
37,-0.684831159
38,-0.723153417
39,0.738084337
40,-0.776932625
41,0.991026129
42,0.903300938
43,-0.675030958
44,-0.904611633
45,-0.93958947
46,-0.569620713
47,0.668616725
48,-0.733490318
49,0.829158599
50,-0.93588705
51,0.995017344
52,0.660031073
53,0.62766807
54,-0.795931773
55,-0.994660418
56,-0.98722953
57,0.603852748
58,-0.632132861
59,0.741056216
60,0.779467466
61,0.99282262
62,-0.781340135
63,-0.992329731
64,-0.523112109
65,0.568273121
66,0.997852365
67,0.505819268
68,0.941530746
69,-0.92864744
70,-0.863742911
71,-0.925758892
72,-0.977169265
73,-0.542059101
74,0.511826685
75,0.990782337
76,0.60843586
77,-0.862902037
78,-0.95760123
79,-0.840528546
80,0.994983487
81,-0.523062517
82,-0.918865956
83,0.591952121
84,-0.844614059
85,0.88508115
86,-0.911330458
87,0.607905418
88,0.534040787
89,0.888491079
90,-0.873767293
91,0.525541506
92,-0.598671304
93,-0.883712398
94,0.605863466
95,0.839031818
96,-0.999487083
97,-0.979561526
98,0.964395636
99,-0.837819713
100,-0.983608116
101,0.882898228
102,-0.981998314
103,-0.867743305
104,0.669908822
105,-0.976053186
106,-0.988320157
107,-0.55293908
108,0.531908531
109,0.691852489
110,0.743920623
111,0.987549798
112,0.579937228
113,-0.901976176
114,0.952671981
115,-0.526393943
116,0.995360203
117,0.745792576
118,-0.999726464
119,0.746317772
120,0.647281227
121,-0.996166207
122,-0.949135805
123,0.731096328
124,0.90084758
125,-0.93831138
126,0.931809643
127,-0.93326113
128,0.831729979
129,0.630129237
130,0.95560142
131,-0.808040785
132,0.531656632
133,0.96395222
134,0.868124789
135,-0.848867604
136,-0.999209196
137,0.984995167
138,-0.817623242
139,-0.669814047
140,0.993382328
141,0.665423526
142,0.76957112
143,0.947276131
144,-0.583609487
145,0.996305389
146,-0.928720995
147,-0.936863946
148,-0.615676065
149,-0.602951195
150,-0.973460288
151,0.967685815
152,-0.797251468
153,-0.862090251
154,-0.778258222
155,0.51246716
156,0.615305132
157,-0.999673354
158,-0.684381723
159,0.969231838
160,-0.898879659
161,0.855732585
162,0.565536809
163,0.635700212
164,0.858081154
165,-0.906422728
166,-0.981283449
167,-0.925402801
168,-0.969130566
169,0.623293463
170,-0.713533765
171,-0.523723914
172,0.622340052
173,-0.633353669
174,0.937302057
175,-0.997537343
176,0.579937228
177,-0.751527649
178,0.837630342
179,0.872508039
180,0.601460368
181,0.957758651
182,0.98485986
183,-0.876417414
184,-0.841426583
185,-0.946014135
186,-0.545281566
187,-0.91211703
188,0.823858655
189,-0.993219363
190,-0.971632086
191,0.951952706
192,-0.920635266
193,0.707002285
194,-0.505175752
195,0.981299841
196,-0.985451935
197,-0.693109776
198,-0.79509686
199,-0.982609761
200,0.967023463
201,-0.987145783
202,0.951152722
203,-0.981068506
204,-0.565498184
205,0.543205937
206,0.782739346
207,-0.937996477
208,-0.809492331
209,-0.789756384
210,0.856693685
211,-0.801485164
212,0.76808077
213,0.664490142
214,-0.82769233
215,-0.975451455
216,-0.522474137
217,-0.895206924
218,-0.986698135
219,0.821083599
220,-0.827768984
221,0.991214487
222,-0.965075154
223,-0.813961594
224,0.7480267
225,0.717920353
226,0.750050114
227,-0.997279424
228,0.983584631
229,-0.965350478
230,-0.873303433
231,-0.861742922
232,-0.988974521
233,0.58158953
234,0.819459372
235,-0.861835074
236,-0.70160858
237,0.857832176
238,0.542245968
239,0.782674375
240,0.682916229
241,-0.797473742
242,-0.683217184
243,-0.992946066
244,0.508657269
245,0.812394291
246,-0.513462595
247,0.855687462
248,-0.679467854
249,-0.776283984
250,-0.997105909
251,0.941211968
252,-0.522603425
253,0.999804549
254,-0.957590679
255,-0.976055451
256,-0.840722864
257,-0.996683773
258,-0.768392037
259,-0.998005793
260,-0.933968722
261,-0.962357499
262,-0.659127433
263,0.959078526
264,-0.988588984
265,-0.750322458
266,-0.968069325
267,-0.77077786
268,0.996760427
269,0.849129934
270,-0.924221333
271,0.984987061
272,0.824795556
273,0.964826712
274,-0.565807424
275,0.916214047
276,0.981166381
277,-0.54601944
278,0.938353283
279,-0.990813154
280,0.974527727
281,-0.973859892
282,-0.996135569
283,0.876850159
284,-0.510116028
285,0.997287113
286,0.977248125
287,-0.708999174
288,0.977054879
289,0.628421858
290,-0.671252242
291,-0.985598806
292,0.997051368
293,-0.985460876
294,0.874931832
295,0.903132489
296,-0.991086868
297,-0.719073149
298,0.662936073
299,-0.993895007
300,-0.779720915
301,-0.954429132
302,-0.804430339
303,0.889374155
304,-0.641634611
305,0.965797172
306,0.921860783
307,-0.917707795
308,0.847675109
309,0.975588908
310,-0.835683939
311,0.981273792
312,-0.780701269
313,-0.943079153
314,0.996511092
315,-0.96295762
316,-0.997526077
317,-0.864254159
318,0.779999815
319,-0.653654273
320,-0.591307593
321,-0.879221499
322,-0.946720595
323,0.854663834
324,0.848386457
325,0.997432614
326,0.622937491
327,0.661172008
328,0.997295399
329,0.976277248
330,-0.906706933
331,-0.935282696
332,-0.610655559
333,0.725438207
334,-0.52701606
335,-0.79297724
336,-0.988593991
337,0.581782537
338,-0.948941129
339,0.837709917
340,-0.780645834
341,0.659675518
342,0.702652177
343,0.693033002
344,-0.878211103
345,0.813089486
346,0.654866557
347,0.994117579
348,-0.914511318
349,-0.941065157
350,-0.943517561
351,-0.933773212
352,0.687461252
353,-0.983873009
354,0.860457322
355,-0.810843261
356,-0.924379768
357,-0.867423515
358,-0.772207292
359,-0.859153243
360,0.844719623
361,0.648100285
362,-0.926147111
363,0.506047383
364,-0.959983537
365,0.894613299
366,0.992764622
367,-0.662829495
368,0.760015486
369,0.541071236
370,-0.834822144
371,-0.821181175
372,-0.90058668
373,-0.822162662
374,0.856899448
375,-0.908000581
376,0.931146934
377,0.797130645
378,-0.80325817
379,-0.679399842
380,0.582304931
381,0.913921389
382,-0.995112596
383,-0.582234416
384,-0.97429991
385,0.989399398
386,0.98809985
387,-0.994921616
388,-0.972064474
389,-0.789686167
390,0.900105951
391,-0.867783957
392,-0.996848765
393,-0.838933705
394,0.983414573
395,-0.504353178
396,0.973096686
397,-0.583713262
398,-0.858882568
399,-0.985619847
400,-0.96198734
401,-0.959269327
402,0.928901723
403,-0.992168375
404,-0.94352072
405,-0.931087327
406,-0.855779734
407,0.790017402
408,0.938824237
409,-0.901747524
410,-0.500569573
411,0.991977872
412,-0.541347633
413,-0.985449431
414,0.961964988
415,0.829101972
416,-0.851267674
417,-0.795964855
418,0.947644978
419,-0.795562449
420,0.996684369
421,-0.91403041
422,-0.959231656
423,-0.950165036
424,0.534865686
425,-0.922054028
426,-0.939282554
427,-0.952550085
428,0.925820526
429,0.960130229
430,-0.851940516
431,-0.881355424
432,-0.670479677
433,0.964549958
434,-0.989218849
435,-0.96695885
436,0.998461249
437,0.705558011
438,0.803898944
439,0.70489554
440,-0.903495733
441,0.62903408
442,0.959149219
443,0.899908891
444,-0.79800478
445,-0.55775889
446,-0.992562198
447,-0.992725282
448,0.785900834
449,0.827615318
450,-0.882410644
451,0.578688405
452,-0.948499263
453,-0.99708302
454,0.818010866
455,-0.598838501
456,-0.926481804
457,0.919440864
458,0.769394087
459,-0.949626071
460,-0.534293818
461,0.986662192
462,-0.932340025
463,0.990908346
464,0.963218043
465,0.731934698
466,0.763187584
467,-0.790795987
468,-0.532096769
469,-0.765786025
470,0.595573238
471,0.999702443
472,0.848858424
473,0.513818626
474,-0.953596543
475,-0.959100938
476,-0.641097851
477,-0.976711186
478,-0.984817181
479,-0.696841522
480,0.695913324
481,-0.969297286
482,-0.991597639
483,0.985343748
484,0.878313746
485,-0.726123507
486,0.605167258
487,-0.89095624
488,-0.947088846
489,0.801387946
490,0.993695205
491,-0.988768818
492,0.86415688
493,-0.980131308
494,-0.923644935
495,0.982940638
496,-0.990883967
497,0.990904233
498,-0.984153519
499,0.565353279
500,-0.981944846
501,0.890625183
502,0.576813889
503,-0.92240392
504,-0.848397425
505,0.95350302
506,0.913379682
507,0.700611894
508,0.671641534
509,-0.924019147
510,-0.945840559
511,-0.996903484
512,0.998714876
513,-0.581174785
514,0.769914038
515,0.818400516
516,0.993246186
517,0.738173032
518,-0.932190829
519,-0.828695096
520,-0.974636689
521,0.982170458
522,0.723377181
523,-0.699151288
524,0.63510319
525,0.654996738
526,-0.714948951
527,0.96649791
528,-0.967317027
529,0.885531718
530,-0.58459759
531,-0.798427512
532,-0.627699602
533,-0.962517424
534,0.976726147
535,0.895764248
536,0.679691499
537,0.966000014
538,0.989071859
539,-0.988524787
540,0.679600002
541,-0.996689197
542,0.619998575
543,-0.986156666
544,0.744623447
545,-0.961204643
546,-0.950619658
547,-0.895556816
548,-0.550329611
549,0.854062877
550,-0.709899774
551,0.989870948
552,0.778500107
