,gender,new_location,mixed_attitude,economic_inflation,cost_of_living,income,redundancy,new_car,policy_war,good_mood,bad_mood,treatment/control
0,0,other towns and places,Extremely Positive,0,0,0,0,1,1,0,0,0
1,1,other towns and places,Neutral,0,0,0,1,1,1,0,0,0
2,1,northwest,Extremely Negative,0,1,1,1,1,1,0,0,0
3,1,other towns and places,Neutral,1,1,1,1,1,1,0,0,0
4,1,scotland,Extremely Positive,1,1,1,1,1,1,0,0,0
5,1,northwest,Neutral,1,1,1,1,1,1,1,0,0
6,0,southeast,Slightly Positive,1,1,1,1,1,1,1,0,0
7,1,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
8,1,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
9,1,yorkshire,Neutral,1,1,1,1,1,1,1,0,0
10,1,london,Extremely Positive,1,1,1,1,1,1,1,0,0
11,1,west midland,Extremely Positive,1,1,1,1,1,1,1,0,0
12,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,0,0
13,0,london,Neutral,1,1,1,1,1,1,1,0,0
14,1,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
15,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,0,0
16,1,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
17,1,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
18,1,london,Neutral,1,1,1,1,1,1,1,0,0
19,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,0,0
20,1,yorkshire,Slightly Negative,1,1,1,1,1,1,1,0,0
21,1,east midland,Slightly Negative,1,1,1,1,1,1,1,0,0
22,1,southeast,Slightly Positive,1,1,1,1,1,1,1,0,0
23,1,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
24,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,0,0
25,0,other towns and places,Neutral,1,1,1,1,1,1,1,0,0
26,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,0,0
27,1,yorkshire,Slightly Negative,1,1,1,1,1,1,1,1,0
28,1,wales,Neutral,1,1,1,1,1,1,1,1,0
29,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
30,1,southeast,Slightly Positive,1,1,1,1,1,1,1,1,0
31,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
32,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
33,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
34,1,yorkshire,Slightly Negative,1,1,1,1,1,1,1,1,0
35,1,scotland,Neutral,1,1,1,1,1,1,1,1,0
36,1,northwest,Slightly Negative,1,1,1,1,1,1,1,1,0
37,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
38,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
39,0,northern ireland,Slightly Negative,1,1,1,1,1,1,1,1,0
40,1,scotland,Neutral,1,1,1,1,1,1,1,1,0
41,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
42,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
43,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
44,0,london,Slightly Negative,1,1,1,1,1,1,1,1,0
45,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
46,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
47,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
48,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
49,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
50,1,southeast,Neutral,1,1,1,1,1,1,1,1,0
51,1,cambridge,Slightly Positive,1,1,1,1,1,1,1,1,0
52,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
53,1,london,Neutral,1,1,1,1,1,1,1,1,0
54,1,london,Extremely Positive,1,1,1,1,1,1,1,1,0
55,0,southeast,Slightly Negative,1,1,1,1,1,1,1,1,0
56,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
57,1,west midland,Neutral,1,1,1,1,1,1,1,1,0
58,1,scotland,Extremely Positive,1,1,1,1,1,1,1,1,0
59,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
60,0,scotland,Slightly Negative,1,1,1,1,1,1,1,1,0
61,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
62,1,west midland,Neutral,1,1,1,1,1,1,1,1,0
63,1,southwest,Neutral,1,1,1,1,1,1,1,1,0
64,0,west midland,Slightly Positive,1,1,1,1,1,1,1,1,0
65,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
66,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
